admitted_s,arrival_s,batch_size,comparison,e2e_ms,error,experiment,finished_s,first_token_s,output_tokens,preemptions,profile_name,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,variant
8953.483435212,8953.483434246,1,batching,1576.7228490003617,,batching-continuous-right-skewed-b1-continuous-fcfs,8955.060157095,8954.616192449,10,0,right-skewed,80,0,1,request-000001,10,49.32940511106507,1132.7582030007761,continuous
8953.48348678,8953.483486395,1,batching,2200.033290000647,,batching-continuous-right-skewed-b1-continuous-fcfs,8955.683519685,8955.157760936,12,0,right-skewed,17,0,1,request-000002,12,47.796249909217956,1674.2745409992494,continuous
8953.483501714,8953.483501354,1,batching,2735.932835001222,,batching-continuous-right-skewed-b1-continuous-fcfs,8956.219434189,8955.880983493,8,0,right-skewed,49,0,1,request-000003,8,48.35009942871693,2397.4821390002035,continuous
8953.483514564,8953.483514276,1,batching,3615.496248999989,,batching-continuous-right-skewed-b1-continuous-fcfs,8957.099010525,8956.41666757,15,0,right-skewed,61,0,1,request-000004,15,48.73878250003015,2933.153293999567,continuous
8953.483528451,8953.48352807,1,batching,5203.315808999832,,batching-continuous-right-skewed-b1-continuous-fcfs,8958.686843879,8957.884931376,18,0,right-skewed,248,0,1,request-000005,18,47.17132370591143,4401.403305999338,continuous
8953.483585837,8953.483585271,1,batching,6714.496053000403,,batching-continuous-right-skewed-b1-continuous-fcfs,8960.198081324,8958.979411944,26,0,right-skewed,81,0,1,request-000006,26,48.74677520005207,5495.826672999101,continuous
8953.483597713,8953.483597383,1,batching,8055.8216130011715,,batching-continuous-right-skewed-b1-continuous-fcfs,8961.539418996,8960.344269949,21,0,right-skewed,36,0,1,request-000007,21,59.757452350004314,6860.672566001085,continuous
8962.006105637,8962.006104614,1,batching,1057.069677999607,,batching-continuous-right-skewed-b1-continuous-fcfs,8963.063174292,8962.173987119,19,0,right-skewed,46,0,2,request-000000,19,49.39928738885,167.882505000307,continuous
8962.174145502,8962.174144708,1,batching,1576.4565999998013,,batching-continuous-right-skewed-b1-continuous-fcfs,8963.750601308,8963.312623875,10,0,right-skewed,80,0,2,request-000001,10,48.6641592223249,1138.4791669988772,continuous
8962.174197956,8962.174197448,1,batching,2217.2964940000384,,batching-continuous-right-skewed-b1-continuous-fcfs,8964.391493942,8963.847722631,12,0,right-skewed,17,0,2,request-000002,12,49.43375554533056,1673.5251830014022,continuous
8962.174214488,8962.174214154,1,batching,2757.926096999654,,batching-continuous-right-skewed-b1-continuous-fcfs,8964.932140251,8964.586985131,8,0,right-skewed,49,0,2,request-000003,8,49.307874285659636,2412.7709770000365,continuous
8962.174228418,8962.174227904,1,batching,3635.8951889997115,,batching-continuous-right-skewed-b1-continuous-fcfs,8965.810123093,8965.129809321,15,0,right-skewed,61,0,2,request-000004,15,48.59384085713308,2955.5814169998484,continuous
8962.174241577,8962.174241225,1,batching,5248.921122998581,,batching-continuous-right-skewed-b1-continuous-fcfs,8967.423162348,8966.613483051,18,0,right-skewed,248,0,2,request-000005,18,47.628193941123115,4439.241825999488,continuous
8962.174471578,8962.174471078,1,batching,6727.19366399906,,batching-continuous-right-skewed-b1-continuous-fcfs,8968.901664742,8967.7121249,26,0,right-skewed,81,0,2,request-000006,26,47.581593680006335,5537.653821998902,continuous
8962.174486146,8962.174485811,1,batching,7823.88674700087,,batching-continuous-right-skewed-b1-continuous-fcfs,8969.998372558,8969.046803443,21,0,right-skewed,36,0,2,request-000007,21,47.57845575004467,6872.317631999977,continuous
8970.462855082,8970.462854517,1,batching,1021.6545599996607,,batching-continuous-right-skewed-b1-continuous-fcfs,8971.484509077,8970.614039126,19,0,right-skewed,46,0,3,request-000000,19,48.35944172221692,151.18460899975616,continuous
8970.614167481,8970.614166707,1,batching,1548.2781609989615,,batching-continuous-right-skewed-b1-continuous-fcfs,8972.162444868,8971.728118588,10,0,right-skewed,80,0,3,request-000001,10,48.25847555548535,1113.9518809995934,continuous
8970.614240403,8970.614239585,1,batching,2197.52062400039,,batching-continuous-right-skewed-b1-continuous-fcfs,8972.811760209,8972.258241428,12,0,right-skewed,17,0,3,request-000002,12,50.319889181826674,1644.0018430002965,continuous
8970.614266347,8970.614265875,1,batching,2734.0708510000695,,batching-continuous-right-skewed-b1-continuous-fcfs,8973.348336726,8973.007347144,8,0,right-skewed,49,0,3,request-000003,8,48.71279742863927,2393.0812689995946,continuous
8970.614305504,8970.614305073,1,batching,3642.2461249985645,,batching-continuous-right-skewed-b1-continuous-fcfs,8974.256551198,8973.547848532,15,0,right-skewed,61,0,3,request-000004,15,50.62161899994472,2933.5434589993383,continuous
8970.614337741,8970.614337366,1,batching,5440.92461999935,,batching-continuous-right-skewed-b1-continuous-fcfs,8976.055261986,8975.247072048,18,0,right-skewed,248,0,3,request-000005,18,47.54058458820509,4632.734681999864,continuous
8970.614478088,8970.614477721,1,batching,6947.511512000347,,batching-continuous-right-skewed-b1-continuous-fcfs,8977.561989233,8976.35224422,26,0,right-skewed,81,0,3,request-000006,26,48.38980052001716,5737.7664989999175,continuous
8970.662335584,8970.662334871,1,batching,8004.9769209999795,,batching-continuous-right-skewed-b1-continuous-fcfs,8978.667311792,8977.708408209,21,0,right-skewed,36,0,3,request-000007,21,47.94517914997414,7046.073338000497,continuous
8979.124783914,8979.124783281,1,batching,1028.3579859988095,,batching-continuous-right-skewed-b1-continuous-fcfs,8980.153141267,8979.27902012,19,0,right-skewed,46,0,4,request-000000,19,48.562285944374,154.23683900007745,continuous
8979.27915253,8979.279151572,1,batching,1551.282693999383,,batching-continuous-right-skewed-b1-continuous-fcfs,8980.830434266,8980.400711662,10,0,right-skewed,80,0,4,request-000001,10,47.746955999981665,1121.560089999548,continuous
8979.27920294,8979.27920252,1,batching,2175.582645000759,,batching-continuous-right-skewed-b1-continuous-fcfs,8981.454785165,8980.927846432,12,0,right-skewed,17,0,4,request-000002,12,47.90352118189648,1648.6439119998977,continuous
8979.279218801,8979.279218434,1,batching,2703.923602000941,,batching-continuous-right-skewed-b1-continuous-fcfs,8981.983142036,8981.649316924,8,0,right-skewed,49,0,4,request-000003,8,47.68930171433437,2370.0984900006006,continuous
8979.279232922,8979.27923249,1,batching,3574.5521369990456,,batching-continuous-right-skewed-b1-continuous-fcfs,8982.853784627,8982.181338868,15,0,right-skewed,61,0,4,request-000004,15,48.03183992849621,2902.1063780000986,continuous
8979.279245023,8979.279244711,1,batching,5212.05404399916,,batching-continuous-right-skewed-b1-continuous-fcfs,8984.491298755,8983.653432755,18,0,right-skewed,248,0,4,request-000005,18,49.286235294108764,4374.188043999311,continuous
8979.279364544,8979.27936425,1,batching,6776.983624999048,,batching-continuous-right-skewed-b1-continuous-fcfs,8986.056347875,8984.79899451,26,0,right-skewed,81,0,4,request-000006,26,50.294134599971585,5519.630259999758,continuous
8979.327638081,8979.327637177,1,batching,7833.91721299995,,batching-continuous-right-skewed-b1-continuous-fcfs,8987.16155439,8986.201389342,21,0,right-skewed,36,0,4,request-000007,21,48.0082523999954,6873.752165000042,continuous
8987.725241674,8987.725240786,2,metadata,1336.0938429996168,,metadata-rebuild-16x8-b2-continuous-fcfs,8989.061334629,8988.698523282,8,0,16x8,16,0,0,request-000000,8,51.83019242836703,973.2824960010475,rebuild
