batch_size,cache_blocks_free,cache_blocks_used,cache_contiguous_waste_gb,cache_contiguous_waste_tokens,cache_device_metadata,cache_memory_reduction_pct,cache_paged_allocated_gb,cache_paged_fragmentation_pct,cache_paged_waste_tokens,cache_peak_blocks_used,cache_peak_paged_allocated_gb,cache_used_tokens,chunk_size,comparison,config,decode_cpu_ms,decode_cuda_ms,decode_iterations,duration_s,e2e_ms_max,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,experiment,gpu_memory_peak_gb,gpu_utilization_mean_pct,metadata_construction_ms,mixed_cpu_ms,mixed_cuda_ms,mixed_iterations,policy,preemptions,prefill_cpu_ms,prefill_cuda_ms,prefill_iterations,profile_name,recomputed_tokens,repeat,requests,scheduler_mode,successful_requests,throughput_tokens_per_s,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,ttft_ms_max,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,variant
4,512.0,0.0,13.983016967773438,523652.0,True,99.8779296875,0.0,0.0,0.0,40.0,0.01708984375,0.0,32,prefill,prefill-chunk32-128x32-b4-continuous-fcfs,1541.117040993413,1541.4155464172363,31,1.7796510019998095,1779.0136590010661,1778.9429475005818,1779.003962250954,1779.0117196510437,prefill-chunk32-128x32-b4-continuous-fcfs,7.98651123046875,37.666666666666664,14.724728995133773,0.0,0,0,fcfs,0,231.0121029986476,231.55289459228516,4,128x32,0,3,4,continuous,4,71.92421427356558,49.903603548397854,49.90378433872871,49.90380009356628,232.00830499990843,231.93123750024824,231.99797659999604,232.00623931992595,chunk32
4,512.0,0.0,13.983016967773438,523652.0,True,99.8779296875,0.0,0.0,0.0,40.0,0.01708984375,0.0,32,prefill,prefill-chunk32-128x32-b4-continuous-fcfs,1520.7094070028688,1520.962329864502,31,1.7451680220001435,1744.5902680010477,1744.52425850086,1744.5810704511132,1744.5884284910608,prefill-chunk32-128x32-b4-continuous-fcfs,7.98651123046875,38.333333333333336,13.877156998205464,0.0,0,0,fcfs,0,217.72881500146468,218.18918228149414,4,128x32,0,4,4,continuous,4,73.34537327431586,49.2241482742165,49.22435540803792,49.22437247512496,218.65268400142668,218.57566200014844,218.6422356014191,218.65059432142516,chunk32
4,512.0,0.0,13.987342834472656,523814.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-static-right-skewed-b4-static-fcfs,3706.675556000846,3707.1009407043457,73,5.55151423299867,5347.316367000531,3160.660432500663,5138.535187250636,5305.560131050552,batching-static-right-skewed-b4-static-fcfs,8.71893310546875,37.53703703703704,29.132732001016848,1243.7747530038905,1243.8222045898438,24,fcfs,0,582.0603519987344,583.2797546386719,11,right-skewed,0,0,12,static,12,40.88974475660943,50.117143979142995,71.76883071817487,74.48734980066274,4132.999428000403,2076.692288501363,3921.755087550355,4090.7505599103933,static
4,512.0,0.0,13.987342834472656,523814.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-static-right-skewed-b4-static-fcfs,3576.982403983493,3577.4116706848145,73,5.408442637000917,5205.610426999556,3024.841166000442,4994.272391299182,5163.342819859481,batching-static-right-skewed-b4-static-fcfs,8.72088623046875,38.148148148148145,29.382558997895103,1234.7916189974057,1234.8842582702637,24,fcfs,0,576.7111900004238,578.2053718566895,11,right-skewed,0,1,12,static,12,41.97141677107179,49.65581864284075,50.72977550109623,50.75429939105867,3986.3680790003855,1912.2242025005107,3791.400755900031,3947.3746143803146,static
4,512.0,0.0,13.987342834472656,523814.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-static-right-skewed-b4-static-fcfs,3704.8447110046254,3705.4621505737305,73,5.48710561200096,5284.2630420000205,3128.3125890004158,5070.983408949451,5241.6071153899065,batching-static-right-skewed-b4-static-fcfs,8.72088623046875,37.716981132075475,29.087581002386287,1198.8884309976129,1198.9254455566406,24,fcfs,0,563.3655829988129,564.6531562805176,11,right-skewed,0,2,12,static,12,41.36971584864773,49.19164067266159,70.79047133409202,73.22527369534833,4066.2921699986327,2045.8143204996304,3874.566972599223,4027.947130518751,static
4,512.0,0.0,13.987342834472656,523814.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-static-right-skewed-b4-static-fcfs,3557.070899010796,3557.1813430786133,73,5.411834376000115,5204.217298000003,2994.762323500254,4994.088498349902,5162.191538069983,batching-static-right-skewed-b4-static-fcfs,8.72088623046875,37.72222222222222,28.99647400045069,1251.8340819988225,1251.8263969421387,24,fcfs,0,582.7257309993001,583.989372253418,11,right-skewed,0,3,12,static,12,41.94511217983275,49.809176644325845,50.73885294751042,50.77887778953343,3992.7801089997956,1880.6515924998166,3786.741678600356,3951.5724229199077,static
4,512.0,0.0,13.987342834472656,523814.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-static-right-skewed-b4-static-fcfs,3712.868246002472,3713.4107780456543,73,5.51316696199865,5310.433843000283,3079.949269500503,5106.777226650138,5269.702519730254,batching-static-right-skewed-b4-static-fcfs,8.72088623046875,36.925925925925924,29.042067002592376,1215.7429320068331,1215.8727989196777,24,fcfs,0,565.026324995415,566.2615089416504,11,right-skewed,0,4,12,static,12,41.17415662625013,49.371182865162694,59.519359152446384,60.610314042254174,4129.859392000071,1876.9372520000616,3937.5840230003632,4091.4043182001296,static
4,512.0,0.0,13.987049102783203,523803.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-continuous-right-skewed-b4-continuous-fcfs,1976.8528639961005,1976.9911003112793,40,4.276131901000554,4073.560983000789,2138.822084500134,3772.0889566505316,4013.266577730738,batching-continuous-right-skewed-b4-continuous-fcfs,9.06463623046875,38.7906976744186,27.439772995421663,2133.4615990017483,2133.39208984375,41,fcfs,0,149.08363700124028,149.40192031860352,3,right-skewed,0,0,12,continuous,12,53.085359679126185,50.3301376367584,52.5555434841971,52.6047979301369,2819.6570300005988,1003.8922860003368,2601.397468700634,2776.0051177406062,continuous
4,512.0,0.0,13.987049102783203,523803.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-continuous-right-skewed-b4-continuous-fcfs,1974.133448997236,1974.4206428527832,40,4.2526193680005235,4043.9917570001853,2185.487932501019,3748.1508220503197,3984.8235700102127,batching-continuous-right-skewed-b4-continuous-fcfs,9.06658935546875,38.80952380952381,27.52888499344408,2109.7498789986275,2109.775535583496,41,fcfs,0,151.8627289988217,152.2157440185547,3,right-skewed,0,1,12,continuous,12,53.37886614261689,50.41577299460518,51.53105854768953,51.67181182388525,2800.6407859993487,1053.3963255002163,2602.7967780995823,2761.071984419396,continuous
4,512.0,0.0,13.987049102783203,523803.0,True,99.90234375,0.0,0.0,0.0,32.0,0.013671875,0.0,16,batching,batching-continuous-right-skewed-b4-continuous-fcfs,2121.476676000384,2121.639450073242,40,4.443419568000536,4221.208086999468,2395.9602230006567,3934.8469108001154,4163.935851759597,batching-continuous-right-skewed-b4-continuous-fcfs,9.06658935546875,37.348837209302324,27.93327098879672,2139.9252350020106,2140.01411819458,41,fcfs,0,165.09597899857908,165.48441696166992,3,right-skewed,0,2,12,continuous,12,51.0867804685269,51.876795282487954,60.24905609559108,60.9540070779207,3028.598023000086,1076.112892999845,2821.997233550428,2987.277865110155,continuous
