admitted_s,arrival_s,backend,batch_size,e2e_ms,error,finished_s,first_token_s,output_tokens,preemptions,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,workload
13086.967512055,13086.967511758,fp16,2,3806.0621690001426,,13090.773573927,13089.546954568,26,0,81,0,0,request-000006,26,49.0647743599402,2579.4428100016376,right-skewed
13087.02017826,13087.020177206,fp16,2,4186.516476998804,,13091.206693683,13090.237088729,21,0,36,0,0,request-000007,21,48.48024769999029,3216.9115229989984,right-skewed
13091.424238942,13091.424238312,fp16,2,1059.3166950002342,,13092.483555007,13091.576164205,19,0,46,0,1,request-000000,19,50.41060011111161,151.9258930002252,right-skewed
13091.576303437,13091.576302591,fp16,2,706.1781939992215,,13092.282480785,13091.832689693,10,0,80,0,1,request-000001,10,49.976787999993476,256.3871019992803,right-skewed
13091.576352895,13091.576352467,fp16,2,1374.6797359999618,,13092.951032203,13092.383330028,12,0,17,0,1,request-000002,12,51.609288636344985,806.977561000167,right-skewed
13091.576371556,13091.576371174,fp16,2,1481.9777960001375,,13093.05834897,13092.70030627,8,0,49,0,1,request-000003,8,51.14895714281634,1123.935096000423,right-skewed
13091.576386843,13091.576386515,fp16,2,2331.0560539994185,,13093.907442569,13093.165719653,15,0,61,0,1,request-000004,15,52.9802082857194,1589.333137999347,right-skewed
13091.576401145,13091.576400851,fp16,2,3195.0407670010463,,13094.771441618,13093.907175829,18,0,248,0,1,request-000005,18,50.83916405890383,2330.774977999681,right-skewed
13091.576481388,13091.576481053,fp16,2,3898.6575649996666,,13095.475138618,13094.239242932,26,0,81,0,1,request-000006,26,49.43582743995648,2662.7618790007546,right-skewed
13091.628309705,13091.628308664,fp16,2,4286.606364999898,,13095.914915029,13094.923636416,21,0,36,0,1,request-000007,21,49.563930649947,3295.327752000958,right-skewed
13096.136383827,13096.136382839,fp16,2,1051.95916699995,,13097.188342006,13096.288061791,19,0,46,0,2,request-000000,19,50.01556750004157,151.67895199920167,right-skewed
13096.288186013,13096.288185043,fp16,2,697.6621720004914,,13096.985847215,13096.546438534,10,0,80,0,2,request-000001,10,48.823186777857096,258.25349099977757,right-skewed
13096.288237805,13096.288237415,fp16,2,1526.2817430011637,,13097.814519158,13097.090603327,12,0,17,0,2,request-000002,12,65.81053009094003,802.3659120008233,right-skewed
13096.288254265,13096.288253994,fp16,2,1626.6679899999872,,13097.914921984,13097.390441005,8,0,49,0,2,request-000003,8,74.92585414287792,1102.1870109998417,right-skewed
13096.288266738,13096.288266394,fp16,2,2447.3741900001187,,13098.735640584,13098.020097118,15,0,61,0,2,request-000004,15,51.110247571419414,1731.8307240002468,right-skewed
13096.288279006,13096.288278635,fp16,2,3303.2370139990235,,13099.591515649,13098.735401684,18,0,248,0,2,request-000005,18,50.35964499995102,2447.123048999856,right-skewed
13096.28834153,13096.288341159,fp16,2,3990.726115000143,,13100.279067274,13099.046624992,26,0,81,0,2,request-000006,26,49.29769128000771,2758.2838329999504,right-skewed
13096.338997523,13096.33899682,fp16,2,4366.031892999672,,13100.705028713,13099.742273035,21,0,36,0,2,request-000007,21,48.13778389998333,3403.2762150000053,right-skewed
13100.92710342,13100.927102534,fp16,2,1063.4081859989237,,13101.99051072,13101.087232415,19,0,46,0,3,request-000000,19,50.18212805549006,160.1298810001026,right-skewed
13101.087370807,13101.08736987,fp16,2,703.2243810008367,,13101.790594251,13101.344722661,10,0,80,0,3,request-000001,10,49.541287777780475,257.35279100081243,right-skewed
13101.08742161,13101.087421282,fp16,2,1348.374163000699,,13102.435795445,13101.889760659,12,0,17,0,3,request-000002,12,49.63952600006781,802.339376999953,right-skewed
13101.087439695,13101.087439284,fp16,2,1448.7082630002988,,13102.536147547,13102.193644111,8,0,49,0,3,request-000003,8,48.929062285813934,1106.2048269996012,right-skewed
13101.087455028,13101.087454555,fp16,2,2252.809661000356,,13103.340264216,13102.635372657,15,0,61,0,3,request-000004,15,50.34939707145116,1547.9181020000397,right-skewed
13101.087469249,13101.087468766,fp16,2,3088.8736249999056,,13104.176342391,13103.340059726,18,0,248,0,3,request-000005,18,49.1930979411229,2252.5909600008163,right-skewed
13101.087548518,13101.087548157,fp16,2,3786.243282000214,,13104.873791439,13103.636069162,26,0,81,0,3,request-000006,26,49.508891080040485,2548.521004999202,right-skewed
13101.139223589,13101.139222753,fp16,2,4169.617884999752,,13105.308840638,13104.32311226,21,0,36,0,3,request-000007,21,49.286418900010176,3183.8895069995488,right-skewed
13105.536193011,13105.536192234,fp16,2,1066.37001099989,,13106.602562245,13105.689124011,19,0,46,0,4,request-000000,19,50.74656855554672,152.9317770000489,right-skewed
13105.689262883,13105.689261828,fp16,2,721.8253970004298,,13106.411087225,13105.968115597,10,0,80,0,4,request-000001,10,49.2190697778925,278.8537689993973,right-skewed
13105.689312091,13105.689311583,fp16,2,1354.9309369991533,,13107.04424252,13106.507737619,12,0,17,0,4,request-000002,12,48.77317281815604,818.4260359994369,right-skewed
13105.689328763,13105.689328361,fp16,2,1455.9676760000002,,13107.145296037,13106.800902182,8,0,49,0,4,request-000003,8,49.199122142973856,1111.5738209991832,right-skewed
13105.689342621,13105.689342265,fp16,2,2256.7359750009928,,13107.94607824,13107.245911706,15,0,61,0,4,request-000004,15,50.01189528567401,1556.5694410015567,right-skewed
13105.6893564,13105.689355968,fp16,2,3092.07754900126,,13108.781433517,13107.94582012,18,0,248,0,4,request-000005,18,49.15372923535281,2256.4641520002624,right-skewed
13105.689427448,13105.689427,fp16,2,3778.841811001257,,13109.468268811,13108.2526585,26,0,81,0,4,request-000006,26,48.62441244004003,2563.2315000002563,right-skewed
13105.741869471,13105.741867957,fp16,2,4352.966317999744,,13110.094834275,13108.934689328,21,0,36,0,4,request-000007,21,58.00724734999676,3192.821370999809,right-skewed
