backend,batch_size,chunk_size,config,decode_cpu_ms,decode_cuda_ms,decode_iterations,duration_s,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,gpu_memory_peak_gb,gpu_utilization_mean_pct,metadata_construction_ms,mixed_cpu_ms,mixed_cuda_ms,mixed_iterations,peak_allocated_bytes,preemptions,prefill_cpu_ms,prefill_cuda_ms,prefill_iterations,recomputed_tokens,repeat,requests,steady_allocated_bytes,steady_reserved_bytes,successful_requests,throughput_tokens_per_s,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,workload
fp16,2,16,fp16-right-skewed,2306.615364999743,2306.746871948242,47,4.382469223000953,1850.7589620003273,4035.436773949914,4142.781662789785,7.29510498046875,38.52272727272727,20.535614996333607,1801.6011659929063,1801.7049369812012,36,6283538944,0,258.3836079993489,258.849796295166,5,0,3,8,4155207680,6905921536,8,29.43546056706031,49.525089428910476,50.290852915864775,50.33768824033388,1327.0614644998204,2961.510531299427,3139.4137118595245,right-skewed
fp16,2,16,fp16-right-skewed,2462.0548310031154,2462.1723709106445,47,4.559178220999456,1856.3518255004965,4152.022740550274,4312.77760250985,7.29510498046875,37.0,20.462779011722887,1828.4644099949219,1828.6110191345215,36,6283538944,0,252.53117899774224,253.10105895996094,5,0,4,8,4155207680,6905921536,8,28.29457278196087,49.209095960433174,55.46600977193924,57.49899983438526,1334.07163100037,2972.464916149965,3148.7500800298403,right-skewed
fp16,4,16,fp16-16x8,459.701193994988,459.75395584106445,9,0.5659002169995802,414.5735924994369,414.61356659992816,414.61857012005567,7.29510498046875,28.166666666666668,2.835274999597459,50.8477679995849,50.84636688232422,1,4420695552,0,52.507606998915435,52.503841400146484,1,0,0,4,4155207680,6905921536,4,56.54707144249733,51.68524892854164,51.68607247865761,51.686137467251164,52.772411999285396,52.81860384993706,52.82421756999611,16x8
fp16,4,16,fp16-16x8,357.3430650012597,357.35645294189453,7,0.4188407779984118,418.22457449961803,418.2742824998968,418.28038690005997,7.29510498046875,32.8,2.560963001087657,0.0,0,0,4494670336,0,59.18330900021829,59.173152923583984,1,0,1,4,4155207680,6905921536,4,76.40134791298028,51.24100385702539,51.241644585687546,51.24170365998776,59.53754750044027,59.59354344968233,59.600315889711055,16x8
fp16,4,16,fp16-16x8,359.6689099977084,359.71797943115234,7,0.4163224389994866,415.7158409989279,415.7597871012513,415.7652550215971,7.29510498046875,34.4,2.4393110015807906,0.0,0,0,4494670336,0,54.46732800010068,54.441471099853516,1,0,2,4,4155207680,6905921536,4,76.86350050432775,51.56589957134981,51.56659760716918,51.56665906432473,54.75454399947921,54.80410225027299,54.81010285038792,16x8
fp16,4,16,fp16-16x8,364.553949002584,364.58147048950195,7,0.4244521860000532,423.74534499958827,423.7905906009473,423.79620612115104,7.29510498046875,33.6,2.6265970027452568,0.0,0,0,4494670336,0,57.32864600031462,57.318878173828125,1,0,3,4,4155207680,6905921536,4,75.39129507509708,52.30155850001341,52.30227325697082,52.30233545122246,57.63443549949443,57.685632149969024,57.691816829992604,16x8
fp16,4,16,fp16-16x8,342.34645500146144,342.37718963623047,7,0.39824866900016787,397.5527010006772,397.5954295493466,397.60079390909596,7.29510498046875,36.0,2.247905998956412,0.0,0,0,4494670336,0,53.59339800088492,53.590782165527344,1,0,4,4,4155207680,6905921536,4,80.35180652414563,49.09608371430555,49.096796821348626,49.09685913562238,53.88011500053835,53.929363600127544,53.93537992002166,16x8
fp16,4,32,fp16-128x32,1525.1519460052805,1525.3116493225098,31,1.7611764299999777,1760.5604435002533,1760.605097399639,1760.6105530795685,7.89276123046875,39.888888888888886,14.674476004074677,0.0,0,0,6003742208,0,229.63998900013394,230.14204788208008,4,0,0,4,4155207680,6905921536,4,72.67869238972362,49.357190806433444,49.357357196749355,49.35737239416642,230.48752850081655,230.53860870049903,230.54471454042869,128x32
fp16,4,32,fp16-128x32,1541.5429860004224,1541.7659606933594,31,1.769231004998801,1768.5940039991692,1768.6471871989852,1768.6539206389352,7.89276123046875,38.55555555555556,14.136273004623945,0.0,0,0,6003545600,0,220.8768450000207,221.4408950805664,4,0,1,4,4155207680,7547650048,4,72.34781644587262,49.89448599999671,49.89465699676246,49.89467067676213,221.8649379992712,221.92622709853822,221.9337806184376,128x32
fp16,4,32,fp16-128x32,1576.6588960032095,1576.8666496276855,31,1.8214746579997154,1820.7607335007197,1820.8098592002898,1820.8161558402753,7.89276123046875,37.0,15.238722997310106,0.0,0,0,6003545600,0,237.32138899686106,237.9336280822754,4,0,2,4,4155207680,7547650048,4,70.27273173296051,51.047009225840156,51.04719150163991,51.047205835835015,238.3034474996748,238.36023059984655,238.3672549199946,128x32
fp16,4,32,fp16-128x32,1572.9537360039103,1573.2523803710938,31,1.799766129001,1799.1587619999336,1799.2141414494654,1799.221168289423,7.89276123046875,37.55555555555556,14.113969997197273,0.0,0,0,6003545600,0,220.007350000742,220.50028610229492,4,0,3,4,4155207680,7547650048,4,71.12035165982884,50.912677306446454,50.9128561774061,50.91287185482513,220.8657655000934,220.92940315005762,220.9372990301017,128x32
fp16,4,32,fp16-128x32,1553.7071480011946,1553.8441314697266,31,1.7797364790003485,1779.1479949992208,1779.207207651143,1779.2148455314054,7.89276123046875,38.55555555555556,14.100122005402227,0.0,0,0,6003545600,0,219.6413739966374,220.16207885742188,4,0,4,4,4155207680,7547650048,4,71.92075990480102,50.27770856451107,50.277890659635304,50.27790528027547,220.53902949937765,220.60604355092437,220.6144391111411,128x32
fp16,4,16,fp16-right-skewed,1990.9638299941435,1991.1971054077148,40,4.357004972000141,2180.079214000216,3855.4465638999313,4091.441083979771,8.96697998046875,39.06976744186046,27.098367992948624,2198.42764799796,2198.497272491455,41,7447855616,0,152.13207099805004,152.4865608215332,3,0,0,12,4155207680,7547650048,12,52.100009400676136,51.296066318580934,54.37876145835313,54.56495259171485,1028.8722495006368,2684.3459323004936,2859.961748059432,right-skewed
fp16,4,16,fp16-right-skewed,1986.8447989902052,1987.079200744629,40,4.521520884998608,2461.796306999531,4012.6268389997676,4247.806363799882,8.97088623046875,37.04545454545455,28.986560997509514,2360.0485370025126,2360.0799407958984,41,7447855616,0,157.66372100006265,158.0244483947754,3,0,1,12,4155207680,8705277952,12,50.204346230741756,53.73955443747188,70.1959646142833,73.79410743717796,1262.769345000379,2898.474873149098,3055.1793362297763,right-skewed
fp16,4,16,fp16-right-skewed,1971.9305399994482,1971.947093963623,40,4.271857825000552,2201.3770690000456,3777.6478493002282,4008.6162370594325,8.97088623046875,39.348837209302324,27.606103005382465,2133.079003999228,2133.154010772705,41,7447855616,0,151.19254299679596,151.50787353515625,3,0,2,12,4155207680,8705277952,12,53.13847260353771,51.00674415001777,53.096899000820486,53.376294927556955,1053.1374809997942,2647.9595492000954,2804.2367234393173,right-skewed
fp16,4,16,fp16-right-skewed,2228.4019840044493,2228.6846618652344,40,4.52454218999992,2207.6192875001652,3884.8591622003364,4224.268833240676,8.97088623046875,38.13636363636363,27.59678100301244,2119.7026369954983,2119.715549468994,41,7447855616,0,160.04231199985952,160.51830291748047,3,0,3,12,4155207680,8705277952,12,50.17082181302502,51.14660642666725,55.13659416574369,58.474205745137,1060.5469069996616,2625.542819700513,2786.2333919410053,right-skewed
fp16,4,16,fp16-right-skewed,1973.9244650027103,1974.105827331543,40,4.296747705999223,2245.675648499855,3779.609270100263,4013.414480420252,8.97088623046875,39.51162790697674,28.33522298897151,2140.6118550039537,2140.5168647766113,41,7447855616,0,165.27138799938257,165.75660705566406,3,0,4,12,4155207680,8705277952,12,52.830656005950054,50.975680544961506,53.32013439997354,53.47610083550434,1098.598129500715,2656.7065419501887,2814.826988389323,right-skewed
fp16,8,16,fp16-16x8,445.89352600269194,445.8900146484375,9,0.555682596999759,409.26336150005227,409.31105669906174,409.32297853903947,8.97088623046875,28.166666666666668,4.1112720009550685,51.83876800037979,51.836158752441406,1,4693640704,0,54.99466299988853,54.98633575439453,1,0,0,8,4155207680,8705277952,8,115.1736627087995,50.55339171433713,50.554691564294835,50.55479648433123,55.386428499332396,55.445076599062304,55.4582713185664,16x8
fp16,8,16,fp16-16x8,355.7295549999253,355.7643241882324,7,0.4154435159998684,414.83332100051484,414.91020719959124,414.9270486397472,8.97088623046875,34.0,3.9620329971512547,0.0,0,0,4694086144,0,57.2801870002877,57.27033615112305,1,0,1,8,4155207680,8705277952,8,154.05222981027407,51.01334557145622,51.01445803569992,51.01455743561279,57.73990200032131,57.82751285023551,57.845603370551544,16x8
fp16,8,16,fp16-16x8,351.4802210011112,351.5112648010254,7,0.40976757099997485,409.17619899937563,409.23354004980865,409.2508208095205,8.97088623046875,35.2,3.9222979994519847,0.0,0,0,4694086144,0,55.954552999537555,55.942718505859375,1,0,2,8,4155207680,8705277952,8,156.1861028773405,50.39149542855219,50.39269762859736,50.39279346860245,56.43573099951027,56.513042849383055,56.531603769308276,16x8
fp16,8,16,fp16-16x8,451.5652990012313,451.5898857116699,9,0.5640865780005697,414.9900919992433,415.0446275494687,415.058304709346,8.97088623046875,36.333333333333336,4.372134000732331,52.68363800132647,52.68588638305664,1,4693640704,0,56.73471999944013,56.722145080566406,1,0,3,8,4155207680,8705277952,8,113.45776073391231,51.11337728573874,51.11467581421363,51.11478453426441,57.19340649920923,57.25941475002401,57.27458374991329,16x8
fp16,8,16,fp16-16x8,452.5662480009487,452.57900619506836,9,0.5628623489992606,414.27442699932726,414.3230049005979,414.335410580552,8.97088623046875,35.666666666666664,4.228767002132372,51.266349999423255,51.258079528808594,1,4693640704,0,56.051391000437434,56.031551361083984,1,0,4,8,4155207680,8705277952,8,113.70453204729115,51.11200100002732,51.113264121457696,51.11336688148055,56.487255999854824,56.54729815023529,56.5611220305982,16x8
fp16,8,32,fp16-128x32,1559.7592430003715,1559.9377555847168,31,1.983241681000436,1833.4885604999727,1833.5358054996505,1833.5465322995333,9.89276123046875,43.55,25.46881800299161,172.12002199994458,172.05785751342773,3,7888946176,0,239.99894299959124,244.43725204467773,4,0,0,8,4155207680,8705277952,8,129.081595275298,51.241214177406945,51.241665756450885,51.241700919025234,245.05241950009804,250.46465774948956,250.4763603498759,128x32
fp16,8,32,fp16-128x32,1591.0167390084098,1591.2680053710938,31,2.0135873790004553,1857.8173959995183,1857.8720401495957,1857.8872248298285,9.89276123046875,42.15,25.883730999339605,166.12003100090078,166.1288948059082,3,7894202368,0,244.70190700048988,248.95923614501953,4,0,1,8,4155207680,9695133696,8,127.1362756192276,51.877087516092416,51.877660674193564,51.87770643161369,249.6106749995306,249.6833900508136,249.7005588112006,128x32
fp16,8,32,fp16-128x32,1623.6347919984837,1623.8135681152344,31,2.0490485840000474,1892.8396594992591,1892.8985085008208,1892.9135921004672,9.89276123046875,41.095238095238095,26.714576997619588,168.03218599852698,168.02175903320312,3,7894202368,0,245.51915699885285,249.88336181640625,4,0,2,8,4155207680,9695133696,8,124.93603226344685,52.97927267741714,52.979779935459746,52.979815703184876,250.4670754997278,250.54208630090216,250.55909406057253,128x32
fp16,8,32,fp16-128x32,1771.3698299940006,1771.5321960449219,31,2.1988211480002064,1869.3376029996216,2026.4640619988313,2026.4772443984657,9.89276123046875,41.04761904761905,26.120921002075193,172.78269500093302,172.72358322143555,3,7894202368,0,243.45125600302708,247.58941268920898,4,0,3,8,4155207680,9695133696,8,116.42602229509572,52.29195750000086,57.308648333841006,57.30868644092499,248.30065249989275,249.90402689991242,249.91950138000902,128x32
fp16,8,32,fp16-128x32,1547.2972729930916,1547.3981437683105,31,1.9793102339990583,1825.8091469997453,1825.893072999952,1825.9201489998486,9.97283935546875,40.9,27.038834010454593,170.07464100061043,170.08022689819336,3,7922225664,0,246.89093999768374,254.82623672485352,4,0,4,8,4155207680,9695133696,8,129.3379863361641,50.6517555161061,50.65233140486241,50.652370126149876,255.60081349976826,256.3918726505108,256.67868253049164,128x32
fp16,8,16,fp16-right-skewed,954.4338510022499,954.4747276306152,19,4.344988711998667,2558.227196000189,3798.2946811493093,3965.4110146793028,12.07049560546875,42.41860465116279,52.000949008288444,3220.483058994432,3220.461238861084,56,11219606016,0,153.4676449973631,153.8292465209961,3,0,0,24,4155207680,9781116928,24,88.37767493839183,55.8486108610244,64.80890444810939,65.9099875116408,1211.353025999415,3058.4200110991333,3174.2149869297828,right-skewed
fp16,8,16,fp16-right-skewed,967.1000109901797,967.1763877868652,19,4.2437634369998705,2569.1033065004376,3716.2284384005034,3847.3314796604427,12.07635498046875,41.714285714285715,52.506744996208,3083.1062590041256,3083.222370147705,55,11217614336,0,174.9132639997697,175.5283546447754,3,0,1,24,4155207680,12039749632,24,90.48572233127794,54.217153895933734,60.45748728614752,60.490994392204,1307.6822549992357,2984.507280900379,3138.731996279512,right-skewed
fp16,8,16,fp16-right-skewed,957.2500039976148,957.3195571899414,19,4.249838677998923,2423.9758310004618,3757.507257300312,3886.111818050813,12.07635498046875,41.97560975609756,50.544502006232506,3117.5868189948233,3117.6943321228027,55,11217614336,0,158.3187670003099,158.71945571899414,3,0,2,24,4155207680,12039749632,24,90.35637093425156,52.996136642832425,88.12508667629486,99.50190665721766,1184.6634145003918,3032.131675050277,3139.473674990277,right-skewed
fp16,8,16,fp16-right-skewed,996.8674530045973,996.9499397277832,19,4.168193303999942,2430.383546000485,3621.9026559492704,3794.8124302406904,12.07635498046875,43.523809523809526,50.65376699712942,3000.1517990003777,3000.2766342163086,56,11219606016,0,153.70488299777207,154.03971099853516,3,0,3,24,4155207680,12039749632,24,92.12624559218507,52.72595901001296,57.043933724915206,57.4654612618047,1172.19749799915,2848.3634732997416,2965.19105321986,right-skewed
fp16,8,16,fp16-right-skewed,944.1523430068628,944.2584648132324,19,4.040250169999126,2407.6142024996443,3544.3760088002814,3671.686291768783,12.07635498046875,44.15,50.30965698642831,2920.8487160030927,2920.819004058838,55,11217614336,0,158.4286389988847,158.80966186523438,3,0,4,24,4155207680,12039749632,24,95.04361953905519,52.543393104770075,54.02849063570362,54.43153997831905,1165.9834564998164,2823.8570050496487,2931.799199970792,right-skewed
